ANO,SEMANA,TRIMESTRE,LLUVIA,MITAD_ANO,SEMANA_NORM,TOTAL_CASOS_LAG1,TOTAL_CASOS_LAG2,TOTAL_CASOS_LAG3,TOTAL_CASOS_LAG4
2024,38,3,0,0,0.7169811320754716,4520.0,4607.0,4657.0,4947.0
2023,42,4,1,0,0.7924528301886793,2745.0,2883.0,2631.0,2766.0
2022,13,1,0,1,0.24528301886792453,893.0,832.0,835.0,829.0
2022,18,2,1,1,0.33962264150943394,1119.0,1103.0,868.0,914.0
2024,24,2,1,1,0.4528301886792453,8707.0,8905.0,9334.0,8506.0
2024,34,3,0,0,0.6415094339622641,4900.0,5491.0,6122.0,6593.0
2022,8,1,0,1,0.1509433962264151,810.0,949.0,920.0,823.0
2022,22,2,1,1,0.41509433962264153,1525.0,1407.0,1388.0,1233.0
2022,43,4,1,0,0.8113207547169812,1521.0,1282.0,1270.0,1228.0
2023,25,2,1,1,0.4716981132075472,2089.0,2256.0,2349.0,2147.0
2024,33,3,0,0,0.6226415094339622,5491.0,6122.0,6593.0,7343.0
2022,11,1,0,1,0.20754716981132076,835.0,829.0,781.0,810.0
2024,42,4,1,0,0.7924528301886793,3590.0,3818.0,3935.0,4327.0
2024,1,1,0,1,0.018867924528301886,4215.0,4195.0,4396.0,4164.0
2022,7,1,0,1,0.1320754716981132,949.0,920.0,823.0,920.0
2023,16,2,1,1,0.3018867924528302,1767.0,1434.0,1592.0,1633.0
2023,7,1,0,1,0.1320754716981132,1713.0,1621.0,1492.0,1653.0
2024,8,1,0,1,0.1509433962264151,6324.0,6039.0,5655.0,5251.0
2023,3,1,0,1,0.05660377358490566,1595.0,1760.0,1580.0,1638.0
2024,20,2,1,1,0.37735849056603776,8087.0,8202.0,7695.0,8391.0
2022,51,4,0,0,0.9622641509433962,1672.0,1755.0,1620.0,1688.0
2024,21,2,1,1,0.39622641509433965,8506.0,8087.0,8202.0,7695.0
2023,14,2,1,1,0.2641509433962264,1592.0,1633.0,1565.0,1513.0
2024,50,4,0,0,0.9433962264150944,4118.0,3537.0,3569.0,3614.0
2023,32,3,0,0,0.6037735849056604,2652.0,2458.0,2600.0,2518.0
2023,12,1,0,1,0.22641509433962265,1565.0,1513.0,1534.0,1444.0
2023,44,4,1,0,0.8301886792452831,3099.0,3066.0,2745.0,2883.0
2022,46,4,0,0,0.8679245283018868,1491.0,1555.0,1473.0,1521.0
2023,11,1,0,1,0.20754716981132076,1513.0,1534.0,1444.0,1496.0
2023,43,4,1,0,0.8113207547169812,3066.0,2745.0,2883.0,2631.0
2023,1,1,0,1,0.018867924528301886,1580.0,1638.0,1672.0,1755.0
2023,41,4,1,0,0.7735849056603774,2883.0,2631.0,2766.0,2620.0
2022,26,2,1,1,0.49056603773584906,1245.0,1249.0,1402.0,1526.0
2023,10,1,0,1,0.18867924528301888,1534.0,1444.0,1496.0,1713.0
2024,47,4,0,0,0.8867924528301887,3614.0,3615.0,3734.0,3757.0
2024,30,3,0,0,0.5660377358490566,7343.0,7320.0,7713.0,7150.0
2022,42,4,1,0,0.7924528301886793,1282.0,1270.0,1228.0,1247.0
2024,43,4,1,0,0.8113207547169812,3987.0,3590.0,3818.0,3935.0
2022,6,1,0,1,0.11320754716981132,920.0,823.0,920.0,917.0
2023,5,1,0,1,0.09433962264150944,1492.0,1653.0,1595.0,1760.0
2024,31,3,0,0,0.5849056603773585,6593.0,7343.0,7320.0,7713.0
2024,4,1,0,1,0.07547169811320754,5083.0,4822.0,4933.0,4215.0
2023,52,4,0,0,0.9811320754716981,4195.0,4396.0,4164.0,3913.0
2024,17,2,1,1,0.32075471698113206,8391.0,7822.0,8275.0,6753.0
2023,40,4,1,0,0.7547169811320755,2631.0,2766.0,2620.0,2646.0
2023,27,3,0,0,0.5094339622641509,2087.0,2135.0,2089.0,2256.0
2024,22,2,1,1,0.41509433962264153,9334.0,8506.0,8087.0,8202.0
2024,52,4,0,0,0.9811320754716981,3808.0,4236.0,4118.0,3537.0
2022,25,2,1,1,0.4716981132075472,1249.0,1402.0,1526.0,1525.0
2023,24,2,1,1,0.4528301886792453,2256.0,2349.0,2147.0,2280.0
2024,7,1,0,1,0.1320754716981132,6039.0,5655.0,5251.0,5083.0
2022,19,2,1,1,0.3584905660377358,1233.0,1119.0,1103.0,868.0
2023,45,4,1,0,0.8490566037735849,2931.0,3099.0,3066.0,2745.0
2024,3,1,0,1,0.05660377358490566,4822.0,4933.0,4215.0,4195.0
