Modelo,N_Estimators,MSE_Train,MSE_Test,MAE_Train,MAE_Test,R²_Train,R²_Test
RF_Baseline,100,15198.16,101455.74,82.68,225.32,0.9971,0.9811
RF_GridSearchCV,200,14630.03,106648.37,81.63,228.72,0.9972,0.9801
