Modelo,Epochs,MSE_Train,MSE_Test,MAE_Train,MAE_Test,R²_Train,R²_Test
MLP,200,179978.84,184784.36,338.18,354.91,0.9660,0.9656
DNN,47,499934.62,468130.16,576.71,574.56,0.9056,0.9127
